image_path,cell_number,label
409443.webp,1,no_object
409443.webp,2,no_object
409443.webp,3,no_object
409443.webp,4,no_object
409443.webp,5,no_object
409443.webp,6,no_object
409443.webp,7,no_object
409443.webp,8,no_object
409443.webp,9,no_object
409443.webp,10,no_object
409443.webp,11,no_object
409443.webp,12,no_object
409443.webp,13,no_object
409443.webp,14,no_object
409443.webp,15,no_object
409443.webp,16,no_object
409443.webp,17,no_object
409443.webp,18,no_object
409443.webp,19,no_object
409443.webp,20,no_object
409443.webp,21,no_object
409443.webp,22,no_object
409443.webp,23,no_object
409443.webp,24,no_object
409443.webp,25,no_object
409443.webp,26,no_object
409443.webp,27,no_object
409443.webp,28,no_object
409443.webp,29,no_object
409443.webp,30,ball
409443.webp,31,ball
409443.webp,32,no_object
409443.webp,33,no_object
409443.webp,34,no_object
409443.webp,35,no_object
409443.webp,36,no_object
409443.webp,37,no_object
409443.webp,38,ball
409443.webp,39,no_object
409443.webp,40,no_object
409443.webp,41,no_object
409443.webp,42,no_object
409443.webp,43,no_object
409443.webp,44,no_object
409443.webp,45,no_object
409443.webp,46,no_object
409443.webp,47,no_object
409443.webp,48,no_object
409443.webp,49,no_object
409443.webp,50,no_object
409443.webp,51,no_object
409443.webp,52,no_object
409443.webp,53,no_object
409443.webp,54,no_object
409443.webp,55,no_object
409443.webp,56,no_object
409443.webp,57,no_object
409443.webp,58,no_object
409443.webp,59,no_object
409443.webp,60,no_object
409443.webp,61,no_object
409443.webp,62,no_object
409443.webp,63,no_object
409443.webp,64,no_object
409477.webp,1,no_object
409477.webp,2,no_object
409477.webp,3,ball
409477.webp,4,ball
409477.webp,5,no_object
409477.webp,6,no_object
409477.webp,7,no_object
409477.webp,8,no_object
409477.webp,9,no_object
409477.webp,10,no_object
409477.webp,11,no_object
409477.webp,12,no_object
409477.webp,13,no_object
409477.webp,14,no_object
409477.webp,15,no_object
409477.webp,16,no_object
409477.webp,17,no_object
409477.webp,18,no_object
409477.webp,19,no_object
409477.webp,20,no_object
409477.webp,21,no_object
409477.webp,22,no_object
409477.webp,23,no_object
409477.webp,24,no_object
409477.webp,25,no_object
409477.webp,26,no_object
409477.webp,27,no_object
409477.webp,28,no_object
409477.webp,29,no_object
409477.webp,30,no_object
409477.webp,31,no_object
409477.webp,32,no_object
409477.webp,33,no_object
409477.webp,34,no_object
409477.webp,35,no_object
409477.webp,36,no_object
409477.webp,37,no_object
409477.webp,38,no_object
409477.webp,39,no_object
409477.webp,40,no_object
409477.webp,41,no_object
409477.webp,42,no_object
409477.webp,43,no_object
409477.webp,44,no_object
409477.webp,45,no_object
409477.webp,46,no_object
409477.webp,47,no_object
409477.webp,48,no_object
409477.webp,49,no_object
409477.webp,50,no_object
409477.webp,51,no_object
409477.webp,52,no_object
409477.webp,53,no_object
409477.webp,54,no_object
409477.webp,55,no_object
409477.webp,56,no_object
409477.webp,57,no_object
409477.webp,58,no_object
409477.webp,59,no_object
409477.webp,60,no_object
409477.webp,61,no_object
409477.webp,62,no_object
409477.webp,63,no_object
409477.webp,64,no_object
409507.webp,1,no_object
409507.webp,2,no_object
409507.webp,3,no_object
409507.webp,4,no_object
409507.webp,5,no_object
409507.webp,6,no_object
409507.webp,7,no_object
409507.webp,8,no_object
409507.webp,9,no_object
409507.webp,10,no_object
409507.webp,11,no_object
409507.webp,12,no_object
409507.webp,13,no_object
409507.webp,14,no_object
409507.webp,15,no_object
409507.webp,16,no_object
409507.webp,17,no_object
409507.webp,18,no_object
409507.webp,19,no_object
409507.webp,20,no_object
409507.webp,21,no_object
409507.webp,22,no_object
409507.webp,23,no_object
409507.webp,24,no_object
409507.webp,25,no_object
409507.webp,26,no_object
409507.webp,27,no_object
409507.webp,28,no_object
409507.webp,29,no_object
409507.webp,30,no_object
409507.webp,31,no_object
409507.webp,32,no_object
409507.webp,33,no_object
409507.webp,34,no_object
409507.webp,35,no_object
409507.webp,36,no_object
409507.webp,37,no_object
409507.webp,38,no_object
409507.webp,39,no_object
409507.webp,40,no_object
409507.webp,41,no_object
409507.webp,42,no_object
409507.webp,43,no_object
409507.webp,44,no_object
409507.webp,45,no_object
409507.webp,46,no_object
409507.webp,47,no_object
409507.webp,48,stump
409507.webp,49,no_object
409507.webp,50,no_object
409507.webp,51,no_object
409507.webp,52,no_object
409507.webp,53,no_object
409507.webp,54,no_object
409507.webp,55,no_object
409507.webp,56,stump
409507.webp,57,no_object
409507.webp,58,no_object
409507.webp,59,no_object
409507.webp,60,no_object
409507.webp,61,no_object
409507.webp,62,no_object
409507.webp,63,no_object
409507.webp,64,stump
409179.webp,1,no_object
409179.webp,2,no_object
409179.webp,3,no_object
409179.webp,4,no_object
409179.webp,5,no_object
409179.webp,6,no_object
409179.webp,7,no_object
409179.webp,8,no_object
409179.webp,9,no_object
409179.webp,10,no_object
409179.webp,11,no_object
409179.webp,12,no_object
409179.webp,13,no_object
409179.webp,14,no_object
409179.webp,15,no_object
409179.webp,16,no_object
409179.webp,17,no_object
409179.webp,18,no_object
409179.webp,19,no_object
409179.webp,20,no_object
409179.webp,21,no_object
409179.webp,22,no_object
409179.webp,23,no_object
409179.webp,24,no_object
409179.webp,25,no_object
409179.webp,26,no_object
409179.webp,27,no_object
409179.webp,28,no_object
409179.webp,29,no_object
409179.webp,30,no_object
409179.webp,31,no_object
409179.webp,32,no_object
409179.webp,33,no_object
409179.webp,34,no_object
409179.webp,35,no_object
