file_name,image_path,cell_number,cell_image_path,label
299784.webp,data/final_data/resized_images/299784.webp,58,data/final_data/grid_cells/299784/c58.jpg,no_object
648ff941aa8f.webp,data/final_data/resized_images/648ff941aa8f.webp,42,data/final_data/grid_cells/648ff941aa8f/c42.jpg,no_object
409575.webp,data/final_data/resized_images/409575.webp,39,data/final_data/grid_cells/409575/c39.jpg,no_object
408828.jpeg,data/final_data/resized_images/408828.jpeg,55,data/final_data/grid_cells/408828/c55.jpg,no_object
306975.webp,data/final_data/resized_images/306975.webp,4,data/final_data/grid_cells/306975/c04.jpg,no_object
410073.jpeg,data/final_data/resized_images/410073.jpeg,41,data/final_data/grid_cells/410073/c41.jpg,no_object
4be27e4e1e76.webp,data/final_data/resized_images/4be27e4e1e76.webp,27,data/final_data/grid_cells/4be27e4e1e76/c27.jpg,no_object
407980.jpeg,data/final_data/resized_images/407980.jpeg,29,data/final_data/grid_cells/407980/c29.jpg,no_object
410112.jpeg,data/final_data/resized_images/410112.jpeg,6,data/final_data/grid_cells/410112/c06.jpg,no_object
bowled.jpg,data/final_data/resized_images/bowled.jpg,21,data/final_data/grid_cells/bowled/c21.jpg,no_object
408998.webp,data/final_data/resized_images/408998.webp,9,data/final_data/grid_cells/408998/c09.jpg,no_object
409061.webp,data/final_data/resized_images/409061.webp,52,data/final_data/grid_cells/409061/c52.jpg,no_object
409006.webp,data/final_data/resized_images/409006.webp,51,data/final_data/grid_cells/409006/c51.jpg,no_object
408023.jpeg,data/final_data/resized_images/408023.jpeg,59,data/final_data/grid_cells/408023/c59.jpg,no_object
409550.webp,data/final_data/resized_images/409550.webp,61,data/final_data/grid_cells/409550/c61.jpg,no_object
180427.webp,data/final_data/resized_images/180427.webp,47,data/final_data/grid_cells/180427/c47.jpg,no_object
409440.jpeg,data/final_data/resized_images/409440.jpeg,39,data/final_data/grid_cells/409440/c39.jpg,stump
408327.webp,data/final_data/resized_images/408327.webp,50,data/final_data/grid_cells/408327/c50.jpg,no_object
409761.webp,data/final_data/resized_images/409761.webp,7,data/final_data/grid_cells/409761/c07.jpg,no_object
409873.webp,data/final_data/resized_images/409873.webp,28,data/final_data/grid_cells/409873/c28.jpg,no_object
407970.jpeg,data/final_data/resized_images/407970.jpeg,52,data/final_data/grid_cells/407970/c52.jpg,no_object
229397.webp,data/final_data/resized_images/229397.webp,35,data/final_data/grid_cells/229397/c35.jpg,no_object
409027.webp,data/final_data/resized_images/409027.webp,64,data/final_data/grid_cells/409027/c64.jpg,no_object
408023.jpeg,data/final_data/resized_images/408023.jpeg,46,data/final_data/grid_cells/408023/c46.jpg,no_object
353126.webp,data/final_data/resized_images/353126.webp,4,data/final_data/grid_cells/353126/c04.jpg,bat
409825.webp,data/final_data/resized_images/409825.webp,55,data/final_data/grid_cells/409825/c55.jpg,no_object
296656.webp,data/final_data/resized_images/296656.webp,21,data/final_data/grid_cells/296656/c21.jpg,bat
409758.webp,data/final_data/resized_images/409758.webp,41,data/final_data/grid_cells/409758/c41.jpg,no_object
407884.jpeg,data/final_data/resized_images/407884.jpeg,46,data/final_data/grid_cells/407884/c46.jpg,no_object
409088.webp,data/final_data/resized_images/409088.webp,42,data/final_data/grid_cells/409088/c42.jpg,no_object
409930.webp,data/final_data/resized_images/409930.webp,48,data/final_data/grid_cells/409930/c48.jpg,no_object
261153.webp,data/final_data/resized_images/261153.webp,60,data/final_data/grid_cells/261153/c60.jpg,no_object
397627.webp,data/final_data/resized_images/397627.webp,53,data/final_data/grid_cells/397627/c53.jpg,no_object
409765.webp,data/final_data/resized_images/409765.webp,6,data/final_data/grid_cells/409765/c06.jpg,no_object
308843.webp,data/final_data/resized_images/308843.webp,38,data/final_data/grid_cells/308843/c38.jpg,no_object
410012.jpeg,data/final_data/resized_images/410012.jpeg,50,data/final_data/grid_cells/410012/c50.jpg,no_object
403432.webp,data/final_data/resized_images/403432.webp,46,data/final_data/grid_cells/403432/c46.jpg,no_object
410112.jpeg,data/final_data/resized_images/410112.jpeg,35,data/final_data/grid_cells/410112/c35.jpg,no_object
408278.jpeg,data/final_data/resized_images/408278.jpeg,1,data/final_data/grid_cells/408278/c01.jpg,no_object
c33f6b4a5b7a.webp,data/final_data/resized_images/c33f6b4a5b7a.webp,9,data/final_data/grid_cells/c33f6b4a5b7a/c09.jpg,no_object
648ff941aa8f.webp,data/final_data/resized_images/648ff941aa8f.webp,1,data/final_data/grid_cells/648ff941aa8f/c01.jpg,no_object
409874.webp,data/final_data/resized_images/409874.webp,45,data/final_data/grid_cells/409874/c45.jpg,stump
410127.jpeg,data/final_data/resized_images/410127.jpeg,32,data/final_data/grid_cells/410127/c32.jpg,no_object
409184.jpeg,data/final_data/resized_images/409184.jpeg,16,data/final_data/grid_cells/409184/c16.jpg,no_object
322356.webp,data/final_data/resized_images/322356.webp,43,data/final_data/grid_cells/322356/c43.jpg,no_object
407922.jpeg,data/final_data/resized_images/407922.jpeg,5,data/final_data/grid_cells/407922/c05.jpg,no_object
306975.webp,data/final_data/resized_images/306975.webp,17,data/final_data/grid_cells/306975/c17.jpg,no_object
307863.webp,data/final_data/resized_images/307863.webp,8,data/final_data/grid_cells/307863/c08.jpg,no_object
408990.webp,data/final_data/resized_images/408990.webp,36,data/final_data/grid_cells/408990/c36.jpg,no_object
409935.webp,data/final_data/resized_images/409935.webp,61,data/final_data/grid_cells/409935/c61.jpg,no_object
